theme_label,tier,occurrence,consistency,keywords,description
"Dialogic Strategies for Managing Student Talk",moderate,2,0.6667,"wait time; think-pair-share; cold call; revoicing; talk partners; distributed talk; dialogic strategies","Teachers adopt specific strategies such as wait time, cold call, talk partners, and think-pair-share to increase student talk and participation, though implementation requires adjustment (e.g., longer wait time)."
"Managing group dynamics and participation",moderate,2,0.6667,"group dynamics; dominant; drift; participation; pacing; weaker students; classroom rules; cold call","Teachers face challenges with dominant pupils leading discussions, weaker pupils copying answers, and some students disengaging, requiring strategies like cold calling and extended wait times to manage talk."
"Language Scaffolding for English Talk",moderate,2,0.6667,"pre-teaching; sentence frames; vocabulary; student responses; scaffolding; avoid translation; vocabulary support; star system","Teachers used explicit scaffolding tools—such as a star system for moving from native languages to full English, and laminated sentence frames—to build students' confidence and capacity for speaking English in STEM contexts."
"Adoption of Dialogic Strategies",moderate,2,0.6667,"think-pair-share; revoicing; coaching support; strategy adoption; talk phones; sentence frames; card cues; dialogic homework","Teachers actively adopt and experiment with specific dialogic strategies such as Think-Pair-Share, wait time, card cues, and peer assessment, often with coaching input, to structure and enhance student talk."
"Structured dialogic strategies to promote equitable student participation",moderate,2,0.6667,"wait time; think-pair-share; participation; speaking English; Gradual Release of Responsibility; dialogic questioning; time limits; talk partners","Teachers adopt structured strategies like think-pair-share, talk partners, and wait time to distribute student talk and move beyond dominant voices, directly supporting the shift toward dialogic practice in English-medium STEM lessons."
"Heightened awareness and cognitive dissonance in professional growth",moderate,2,0.6667,"growth mindset; awareness; cognitive dissonance; professional learning; reflection","Teachers undergoing coaching experience a paradox where increased pedagogical knowledge leads to feeling less competent, as they become more aware of their practice gaps. This is explicitly articulated in baseline assessments and reflections, indicating a psychological shift that supports dialogic teaching adoption."
"Reflective Practice and Self-Evaluation",moderate,2,0.6667,"reflection; self-questioning; coaching; instructional decisions; instructional choices; responsiveness","Post-lesson coaching reflections reveal teachers critically questioning their instructional choices and responsiveness to students, indicating coaching's role in fostering deep self-evaluation."
"Structured Time Management for Student Talk",moderate,2,0.6667,"time management; lesson structure; student discussion; synthesis; time allocation; student-led discussion; structured plan","Dialogic lessons are deliberately structured with timed segments for teacher prompt, student discussion, and synthesis, while reflections question the effectiveness of time use, highlighting time as a key factor in managing student talk."
"Scaffolding for lower-ability students",moderate,2,0.6667,"mixed ability; scaffolding; visual aids; lower-achieving","Strategies like mixed-ability pairing, visual aids, and concrete-pictorial-abstract methods are used to support lower-achieving students in STEM contexts."
"Language scaffolding and code-switching to support English use in DLP",moderate,2,0.6667,"code-switching; vocabulary support; sentence frames; bilingual","Teachers scaffold English output through sentence frames, vocabulary support, and strategic code-switching to native languages while emphasizing English terms, addressing the dual-language challenge in STEM instruction."
"Teacher internal shifts toward adaptive and student-centered instruction",moderate,2,0.6667,"lesson pace; student understanding; scheme of work; internal shift; adaptive instruction; confidence","Teachers begin prioritizing student understanding over strict adherence to schemes of work, adapting lesson pace and pairing students strategically, reflecting a mindset shift that supports dialogic practice and learner confidence."
"Pedagogical barriers: syllabus pace, student readiness, and depth of questioning",moderate,2,0.6667,"syllabus difficulty; student readiness; goal-setting; coaching challenge; syllabus pace; student understanding; confidence; questioning depth","Teachers encounter barriers such as curriculum pace mismatched with student level, low student confidence, and difficulty grasping deeper coaching questions, which impede effective implementation of dialogic strategies."
"Language confidence and bilingual deficit as a barrier",moderate,2,0.6667,"confidence; shy; broken English; bilingual deficit; language confidence; English; shyness; native language retreat","Students' lack of confidence in English triggers retreat into native language translation, but structured vocabulary support and repeated oral practice gradually build willingness to speak, even in broken English."
"Scaffolding strategies for HOTS and vocabulary",moderate,2,0.6667,"sentence frames; vocabulary pyramid; dual coding; role cards; scaffolding; vocabulary strategies","Teachers employ structured scaffolds like sentence frames, vocabulary pyramids, dual coding, and role cards to support student reasoning, participation, and higher-order thinking, though some scaffolds can create pacing issues."
