theme_label,tier,evidence_type,text,source_reference,similarity_score,seed
Uneven engagement in mixed-ability groupings,high,Retrieved Source Evidence,"Carolyn Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1MLBl_UTZNCaief3rq-Db58KJ9PiP5Jg8gV_Q8wXThrM/edit?usp=drivesdk",Row 15 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.378,
Uneven engagement in mixed-ability groupings,high,Retrieved Source Evidence,"Anthony Baseline information; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.A) Getting students to explain a concept in their own words in English.B) Helping students use reasoning language to develop thinking.C) Planning talk activities that build understanding of concepts	.D) Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.E) Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/14NigJYAuTeQwM13GM7V6ypquL_DbgK3tGKNv8WC0MOs/edit?usp=drivesdk",Row 55 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.375,
Explicit Mathematical Vocabulary Instruction,high,Retrieved Source Evidence,"Healery Maths LP 6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1_u_fAnhis-VR0XT03qq5CXzV0zUskOwA/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 14 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.552,
Explicit Mathematical Vocabulary Instruction,high,Retrieved Source Evidence,"Healery LP 15 JUN 2026.docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DATE


SUBJECT
CLASS
TIME


15
06
2026
MT
4A
0700
0800
60 MINUTES





0930
1000
30 MINUTES
Learning Area

Numbers And Operations





Topic

2.0 Fractions, Decimals And Percentages





Content Standard

2.2 Decimals





Learning Standard

2.2.3. Multiply decimals by one-digit number, 10, 100 and 1000 with the product up to three decimal places.





Learning Objektive

At The End Of The Lesson, 20/26 Pupils Are Able To;
correctly multiply decimals by a one-digit number in at least 4 out of 5; DATE


SUBJECT
CLASS
TIME


15
06
2026
MT
4A
0700
0800
60 MINUTES





0930
1000
30 MINUTES
Learning Area

Numbers And Operations





Topic

2.0 Fractions, Decimals And Percentages





Content Standard

2.2 Decimals





Learning Standard

2.2.3. Multiply decimals by one-digit number, 10, 100 and 1000 with the product up to three decimal places.





Learning Objektive

At The End Of The Lesson, 20/26 Pupils Are Able To;
correctly multiply decimals by a one-digit number in at least 4 out of 5 questions.





Success Criteria

Explain the steps for multiplying decimals by a one-digit number.
Solve multiplication problems involving decimals correctly.
Justify their answers during class discussion.
Complete at least 4 out of 5 questions correctly.





Pdpc Activities

SESSION 1 (60 Minutes | 0700 – 0800)
Set Induction (10 Minutes)
Teacher displays pictures (slide) showing prices of items (e.g., RM2.50, RM3.75, RM4.20).
Ask pupils:
""Where do we see decimals in daily life?""
""How can we; https://docs.google.com/document/d/1jp3hBrCmMx0bjFDtz5VkXhA_w1Qlje-5/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 7 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.517,
Explicit Mathematical Vocabulary Instruction,high,Retrieved Source Evidence,"Healery Maths LP Edited version Division  6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1Tc7V-Qt5Refh4tC97-dQYk5iR_zvb5JP/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 13 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.516,
Measurable mastery-oriented objectives and success criteria,high,Retrieved Source Evidence,"Carolyn Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1MLBl_UTZNCaief3rq-Db58KJ9PiP5Jg8gV_Q8wXThrM/edit?usp=drivesdk",Row 15 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.483,
Measurable mastery-oriented objectives and success criteria,high,Retrieved Source Evidence,"Joshua Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1DcYI6ShQJBBenwxca5OU5jm6x_rZW2SHw_HV45neMUc/edit?usp=drivesdk",Row 34 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.475,
Measurable mastery-oriented objectives and success criteria,high,Retrieved Source Evidence,"Lesson Plan on 14.05.2026 Strategies 3.pdf; application/pdf; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be abl; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be able to: 1. Ask and answer simple questions about animals. 
2. Describe at least 3 animal characteristics correctly. 
Success
 Criteria Pupils can: 
1. Ask questions confidently. 
2. Answer using simple correct sentences. 
Teaching
 Aids ✔ mobile phone prop 
✔ Projector to show the slide ✔ Question already compile in slide
HOTS
 Communication and describing skills. 
Cross CurricularElement
✔ Speaking and listening skills. ✔ Moral Value 
 
✔ Confidence and cooperation. 
Assessment
 Teacher observes; https://drive.google.com/file/d/11so6bXnvWZx7kQhvQeF73rgPsn1eDnCc/view?usp=drivesdk",Row 65 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.470,
Real-World Contextualization and Multimedia Engagement,high,Retrieved Source Evidence,"Healery Maths LP 6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1_u_fAnhis-VR0XT03qq5CXzV0zUskOwA/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 14 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.501,
Real-World Contextualization and Multimedia Engagement,high,Retrieved Source Evidence,"Healery LP 15 JUN 2026.docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DATE


SUBJECT
CLASS
TIME


15
06
2026
MT
4A
0700
0800
60 MINUTES





0930
1000
30 MINUTES
Learning Area

Numbers And Operations





Topic

2.0 Fractions, Decimals And Percentages





Content Standard

2.2 Decimals





Learning Standard

2.2.3. Multiply decimals by one-digit number, 10, 100 and 1000 with the product up to three decimal places.





Learning Objektive

At The End Of The Lesson, 20/26 Pupils Are Able To;
correctly multiply decimals by a one-digit number in at least 4 out of 5; DATE


SUBJECT
CLASS
TIME


15
06
2026
MT
4A
0700
0800
60 MINUTES





0930
1000
30 MINUTES
Learning Area

Numbers And Operations





Topic

2.0 Fractions, Decimals And Percentages





Content Standard

2.2 Decimals





Learning Standard

2.2.3. Multiply decimals by one-digit number, 10, 100 and 1000 with the product up to three decimal places.





Learning Objektive

At The End Of The Lesson, 20/26 Pupils Are Able To;
correctly multiply decimals by a one-digit number in at least 4 out of 5 questions.





Success Criteria

Explain the steps for multiplying decimals by a one-digit number.
Solve multiplication problems involving decimals correctly.
Justify their answers during class discussion.
Complete at least 4 out of 5 questions correctly.





Pdpc Activities

SESSION 1 (60 Minutes | 0700 – 0800)
Set Induction (10 Minutes)
Teacher displays pictures (slide) showing prices of items (e.g., RM2.50, RM3.75, RM4.20).
Ask pupils:
""Where do we see decimals in daily life?""
""How can we; https://docs.google.com/document/d/1jp3hBrCmMx0bjFDtz5VkXhA_w1Qlje-5/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 7 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.488,
Real-World Contextualization and Multimedia Engagement,high,Retrieved Source Evidence,"Healery Maths LP Edited version Division  6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1Tc7V-Qt5Refh4tC97-dQYk5iR_zvb5JP/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 13 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.461,
STEM pedagogy aligned with national policy and future careers,high,Retrieved Source Evidence,"Slide Presentation for CfBT.pdf; application/pdf; CAROLYNE ANAK THUNDERBIRDS SK NANGA AJAU 
Session Learning Objectives 
The 'Why' 
Connect the 
Malaysian Ministry of Education's macro-goals (DSTIN 2021-2030) to daily classroom impact. 
The 'What' 
Deconstruct the 7 core characteristics of STEM pedagogy and the evolving role of the teacher. 
The 'How' 
• Implement concrete, step-by-step inquiry activities (PBL) and real-time formative 
assessment tools. 
NotebookLM 
The Macro Vision: Policy Meets the Future 
National Policy 
DSTIN 2021-2030 (ST; CAROLYNE ANAK THUNDERBIRDS SK NANGA AJAU 
Session Learning Objectives 
The 'Why' 
Connect the 
Malaysian Ministry of Education's macro-goals (DSTIN 2021-2030) to daily classroom impact. 
The 'What' 
Deconstruct the 7 core characteristics of STEM pedagogy and the evolving role of the teacher. 
The 'How' 
• Implement concrete, step-by-step inquiry activities (PBL) and real-time formative 
assessment tools. 
NotebookLM 
The Macro Vision: Policy Meets the Future 
National Policy 
DSTIN 2021-2030 (STIE Framework) 
Transitioning Malaysia into a high-tech, innovation-led nation by strengthening local R&D and developing an adaptive STEM talent pool. 
Your classroom practice directly fuels the nation's innovation economy. 
Micro Impact 
High-Demand Jobs by 2026 
Equipping students for future careers. Key growth roles: 
• Al Engineer 
Cybersecurity Engineer 
• Big Data Analyst 
• Blockchain Developer 
A NotebookLM 
The 7 Characteristics of STEM Pedagogy 
Solve 
real-world 
Utilize inquiry and pr; https://drive.google.com/file/d/1wYaxw5u05e1ouuURu6ucO__yWI0CZBYu/view?usp=drivesdk",Row 22 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.736,
STEM pedagogy aligned with national policy and future careers,high,Retrieved Source Evidence,"Lesson Plan on 14.05.2026 Strategies 3.pdf; application/pdf; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be abl; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be able to: 1. Ask and answer simple questions about animals. 
2. Describe at least 3 animal characteristics correctly. 
Success
 Criteria Pupils can: 
1. Ask questions confidently. 
2. Answer using simple correct sentences. 
Teaching
 Aids ✔ mobile phone prop 
✔ Projector to show the slide ✔ Question already compile in slide
HOTS
 Communication and describing skills. 
Cross CurricularElement
✔ Speaking and listening skills. ✔ Moral Value 
 
✔ Confidence and cooperation. 
Assessment
 Teacher observes; https://drive.google.com/file/d/11so6bXnvWZx7kQhvQeF73rgPsn1eDnCc/view?usp=drivesdk",Row 65 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.402,
STEM pedagogy aligned with national policy and future careers,high,Retrieved Source Evidence,"Lesson Plan on 17.03.2026 Strategies 1.pdf; application/pdf; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 1: 
Active Engagement And Movement, Peer To Peer Collaboration And Development HighOrder Thinking Skills (Hots) 
Date
 17 March 2026 (Tuesday)
Class
 Year 4A
Topic
 Human
Activity
 Gallery Walk
Subject
 Science (DLP)
Content Standard
 Understand human organs and their functions. 
Learning
 Standard Identify main human organs and explain their functions. 
Learning
 Objective By the end of the less; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 1: 
Active Engagement And Movement, Peer To Peer Collaboration And Development HighOrder Thinking Skills (Hots) 
Date
 17 March 2026 (Tuesday)
Class
 Year 4A
Topic
 Human
Activity
 Gallery Walk
Subject
 Science (DLP)
Content Standard
 Understand human organs and their functions. 
Learning
 Standard Identify main human organs and explain their functions. 
Learning
 Objective By the end of the lesson, pupils will be able to: 1. Identify at least 4 main human organs correctly. 2. Explain the basic function of each organ during the galleryactivity. 
Success Criteria
 Pupils can: 
1. Name the organs correctly. 
2. Explain the function confidently during discussion. 
Teaching
 Aids ✔ Marker pens 
✔ Mahjong paper 
✔ Sticky notes
HOTS
 Analysing and explaining functions of organs. 
Cross CurricularElement
1. Communication skills and teamwork. 
2. Moral Value 
 
3. Cooperation and respect for fr; https://drive.google.com/file/d/1hBilMOFtjQHnZ_g50mJM81uiJn5upnD0/view?usp=drivesdk",Row 67 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.394,
Cross-Curricular Integration of STEM and English,high,Retrieved Source Evidence,"application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1g7JDglvaim6Z0NGzGObCOokxXNwKcvvtVeRkcmUrCcQ/edit?usp=drivesdk",Row 50 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.456,
Cross-Curricular Integration of STEM and English,high,Retrieved Source Evidence,"application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.















It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we; Baseline scores from April.    Scores are based on 1 - 4  
Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:
Domain 1: Dialogic Teaching.
Domain 2: Use of English for Instruction
Domain 3: Assessment for Learning.
Domain 4: Reflective Practice.
Domain 5: Leading Professional Development.
















It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.

Here are the skills you self-assessed against.
Getting students to explain a concept in their own words in English.
Helping students use reasoning language to develop thinking.
Planning talk activities that build understanding of concepts        .
Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.
Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1ZP1a1FKhT51Yp0dr5E-WsVqKZ63Wx_Ps0AkCka4HZgY/edit?usp=drivesdk",Row 3 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.449,
Cross-Curricular Integration of STEM and English,high,Retrieved Source Evidence,"Anthony Baseline information; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.A) Getting students to explain a concept in their own words in English.B) Helping students use reasoning language to develop thinking.C) Planning talk activities that build understanding of concepts	.D) Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.E) Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/14NigJYAuTeQwM13GM7V6ypquL_DbgK3tGKNv8WC0MOs/edit?usp=drivesdk",Row 55 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.441,
